Bus,Bus_type,Bus_mag,Bus_delta,Bus_Pd,Bus_Qd,Bus_Pg,Bus_Qg,Bus_qmax,Bus_qmin,Bsh
1,2,1.035,0,56.35,43.68513939,52.82,0,80,-50,0
2,1,1.035,0,50.41,39.0673137,0,0,80,-50,0
3,1,1,0,93.42,72.40445943,0,0,0,0,0
4,1,1,0,38.55,29.88968484,0,0,0,0,0
5,1,1,0,37.07,28.76106712,0,0,0,0,0
6,1,1,0,71.17,55.1597664,0,0,0,0,0.01
7,2,1.025,0,65.24,50.60037006,100,0,180,0,0
8,1,1,0,88.97,68.96460117,0,0,0,0,0
9,1,1,0,90.45,70.10258355,0,0,0,0,0
10,1,1,0,100.83,78.15266914,0,0,0,0,0
11,1,1,0,0,0,0,0,0,0,0
12,1,1,0,0,0,0,0,0,0,0
13,1,1.02,0,137.9,106.9064902,0,0,240,0,0
14,1,0.98,0,100.83,0,0,0,200,-50,0
15,2,1.014,0,164.59,127.6230048,54.24,0,110,-50,0
16,2,1.017,0,51.9,40.25381983,54.24,0,80,-50,0
17,1,1,0,0,0,0,0,0,0,0
18,1,1.05,0,173.49,134.4886615,0,0,200,-50,0
19,1,1,0,94.9,73.56120772,0,0,0,0,0
20,1,1,0,66.73,51.73560196,0,0,0,0,0
21,3,1.05,0,0,0,100,0,200,-50,0
22,1,1.05,0,0,0,0,0,96,-60,0
23,2,1.05,0,0,0,54.24,0,310,-125,0
24,1,1,0,0,0,0,0,0,0,0
25,1,1.035,0,56.35,43.68513939,0,0,80,-50,0
26,1,1.035,0,50.41,39.0673137,0,0,80,-50,0
27,1,1,0,93.42,72.40445943,0,0,0,0,0
28,1,1,0,38.55,29.88968484,0,0,0,0,0
29,1,1,0,37.07,28.76106712,0,0,0,0,0
30,1,1,0,71.17,55.1597664,0,0,0,0,0.01
31,2,1.025,0,65.24,50.60037006,31.33,0,180,0,0
32,1,1,0,88.97,68.96460117,0,0,0,0,0
33,1,1,0,90.45,70.10258355,0,0,0,0,0
34,1,1,0,100.83,78.15266914,0,0,0,0,0
35,1,1,0,0,0,0,0,0,0,0
36,1,1,0,0,0,0,0,0,0,0
37,2,1.02,0,137.9,106.9064902,447.53,0,240,0,0
38,1,0.98,0,100.83,0,0,0,200,-50,0
39,2,1.014,0,164.59,127.6230048,54.24,0,110,-50,0
40,2,1.017,0,51.9,40.25381983,54.24,0,80,-50,0
41,1,1,0,0,0,0,0,0,0,0
42,2,1.05,0,173.49,134.4886615,400,0,200,-50,0
43,1,1,0,94.9,73.56120772,0,0,0,0,0
44,1,1,0,66.73,51.73560196,0,0,0,0,0
45,2,1.05,0,0,0,400,0,200,-50,0
46,1,1.05,0,0,0,0,0,96,-60,0
47,2,1.05,0,0,0,54.24,0,310,-125,0
48,1,1,0,0,0,0,0,0,0,0
49,1,1.035,0,56.35,43.68513939,0,0,80,-50,0
50,1,1.035,0,50.41,39.0673137,0,0,80,-50,0
51,1,1,0,93.42,72.40445943,0,0,0,0,0
52,1,1,0,38.55,29.88968484,0,0,0,0,0
53,1,1,0,37.07,28.76106712,0,0,0,0,0
54,1,1,0,71.17,55.1597664,0,0,0,0,0.01
55,2,1.025,0,65.24,50.60037006,50,0,180,0,0
56,1,1,0,88.97,68.96460117,0,0,0,0,0
57,1,1,0,90.45,70.10258355,0,0,0,0,0
58,1,1,0,100.83,78.15266914,0,0,0,0,0
59,1,1,0,0,0,0,0,0,0,0
60,1,1,0,0,0,0,0,0,0,0
61,2,1.02,0,137.9,106.9064902,344,0,240,0,0
62,1,0.98,0,100.83,0,0,0,200,-50,0
63,2,1.014,0,164.59,127.6230048,54.24,0,110,-50,0
64,2,1.017,0,51.9,40.25381983,54.24,0,80,-50,0
65,1,1,0,0,0,0,0,0,0,0
66,1,1.05,0,173.49,134.4886615,0,0,200,-50,0
67,1,1,0,94.9,73.56120772,0,0,0,0,0
68,1,1,0,66.73,51.73560196,0,0,0,0,0
69,2,1.05,0,0,0,400,0,200,-50,0
70,1,1.05,0,0,0,0,0,96,-60,0
71,2,1.05,0,0,0,54.24,0,310,-125,0
72,1,1,0,0,0,0,0,0,0,0
73,1,1,0,0,0,0,0,0,0,0
